Flow_liquid,Pressure_liquid,Rotation_Speed,Flow_gas,Pressure_gas,Temperature_gas,CH2S,Temperature_liquid
-0.239168771,0.047595128,-0.182427055,0.06223839,-0.002963111,-0.001978951,-0.025009506,0.069491191
-0.065062153,-0.06928823,0.062066999,-0.16895551,-0.001283488,0.004736047,0.013840936,0.030604737
0.103227768,0.00120758,-0.106094586,-0.052194409,-0.003455744,0.012221753,-0.002326552,-0.028818455
0.183433384,-0.002695334,0.025415077,0.049710489,-0.003129611,-0.05543756,0.026342798,-0.003887799
-0.051536925,-0.005285834,0.063998984,-0.079221042,-0.002311504,0.009664129,0.00928264,0.06202769
0.183089144,-0.005489578,0.024819471,0.051378334,-0.00520334,-0.058913351,0.025486769,-0.002511699
-0.249701574,0.046194944,-0.205930104,0.057958566,-0.004457553,-0.041685541,-0.025474406,0.056606218
0.160220847,0.178419907,-0.243679996,0.04925644,-0.005443246,0.006953667,0.001862654,0.112280461
0.165963863,0.013014271,0.027617132,-0.004764656,-0.002011682,-0.045588567,-0.003484037,-0.073829901
-0.092425789,0.054253001,0.048630222,-0.102780206,0.006384934,0.00912118,0.004357367,0.084797032
0.154233496,0.010916252,-0.003186884,-0.002919401,-0.003784389,-0.024765857,-0.002789877,-0.049136284
0.105466262,-0.026513804,-0.094411062,-0.01270756,0.000109725,0.012491632,-0.004336086,-0.03972396
0.026746838,0.027938793,0.192800481,0.213690964,0.01046333,0.055508524,-0.005479399,-0.030605492
-0.053583978,-0.005706113,0.065458657,-0.070242807,-0.002550586,0.015197376,0.008781855,0.061034311
-0.065067923,-0.072973666,0.062803678,-0.207094539,-0.00011963,0.011508195,0.015722409,0.039556758
0.109664601,-0.008749727,-0.09386505,-0.037951315,-0.00491978,0.011897768,-0.002607669,-0.030285886
-0.246898119,0.047184014,-0.203206735,0.05855375,-0.004872495,-0.035795608,-0.02526197,0.058420642
-0.06137338,-0.072493801,0.062964522,-0.199124203,-0.000284168,0.006820362,0.015261916,0.038143267
-0.244413678,0.046300425,-0.189918909,0.06079387,-0.003092916,-0.013336917,-0.025158211,0.0646423
-0.257680288,0.045545407,-0.219792516,0.055244275,-0.003827639,-0.041604427,-0.025644581,0.053460535
0.164054883,0.015263603,0.043145785,0.02321047,-0.006579213,-0.054025721,0.018181865,-0.028456136
0.004086799,-0.083827829,-0.034162121,0.048551899,0.004861838,0.106847026,0.004650303,0.020645359
-0.068279385,0.014164624,-0.077403671,0.01440564,-0.001258907,0.012471026,-0.0073034,-0.06177675
0.06993072,0.01036584,-0.0018265,-0.049655632,-0.001762389,0.018262643,0.008238389,0.09757334
0.15906896,0.174221623,-0.241914361,0.03519392,-0.005098441,0.006368594,0.001771324,0.111906964
-0.060694976,-0.008317646,0.016298142,-0.019245464,-0.00068677,0.016620206,0.004774065,0.056007429
-0.10247638,-0.051812733,0.046959022,-0.10410437,-0.002781543,0.002529504,0.012894711,0.012514426
-0.137776017,-0.115019634,0.014768652,0.037269906,0.003916537,0.078935358,0.002610813,-0.022218571
-0.079647393,-0.009179832,0.016798723,0.026041551,-0.000733013,0.015926631,0.004344782,0.066890508
0.166805734,0.190210937,-0.247454228,0.06379201,-0.005418385,0.014329248,0.002129776,0.112624475
-0.249232497,0.04656915,-0.205875202,0.058018516,-0.004918384,-0.039532132,-0.025472018,0.057203961
-0.067167198,-0.068077383,0.061363714,-0.165818648,-0.000809713,0.005236412,0.013848157,0.030274855
0.063617894,-0.053809398,0.071891335,-0.19611038,-0.004748421,0.008797921,-0.011653242,-0.009778496
0.157744193,0.012571153,-0.008934717,-0.021551706,-0.001249049,-0.033045484,-0.004102796,-0.035101908
-0.208369759,0.027986147,-0.006394351,-0.107674215,0.005190421,-0.003308496,0.002559182,0.042303134
-0.252180697,0.045445655,-0.207975945,0.05788591,-0.002884396,-0.041152102,-0.0254185,0.055747493
0.023671692,-0.0757251,0.073200597,0.189766957,0.011053711,0.059332972,-0.005584341,-0.241122582
-0.057940429,-0.073924448,0.064619224,-0.194161743,-0.001287277,0.003931093,0.014588986,0.036463311
0.15282547,0.014550708,0.017406982,0.017890852,-0.005154921,-0.047483357,0.015992187,-0.013862482
-0.25841951,0.044860875,-0.219001153,0.05523291,-0.002239166,-0.037212088,-0.025710342,0.054949167
0.185329528,-0.011926589,0.030928383,0.039324587,-0.006707324,-0.048454195,0.024438098,0.000117428
-0.089857829,0.057223241,0.037588662,-0.142712317,0.004141647,-0.01395404,0.002546734,0.080684112
0.026865612,0.025764595,0.193021763,0.206604879,0.012011555,0.045578531,-0.005568287,-0.024489782
0.15696837,0.173787502,-0.245254997,0.038248264,-0.004167728,0.008559463,0.001679413,0.111657647
-0.021285639,0.066302641,-0.114891148,-0.089286805,-0.002129984,0.010987395,0.002721612,-0.028710615
0.165198471,0.187471299,-0.243628938,0.0637004,-0.004060544,0.012330752,0.002054126,0.111051316
0.161413212,0.018264214,0.034824911,0.022002351,-0.003307943,-0.056289703,0.01556741,-0.034932673
-0.194637269,-0.060069008,0.003461558,-0.201749249,-0.00163622,-0.017763947,0.021222652,0.032747924
0.102552733,0.004273531,-0.10783378,-0.055272567,-0.004535564,0.012092254,-0.002333504,-0.028191953
-0.359693997,-0.168554973,0.110392196,0.025756805,0.01798081,0.085258496,-0.012481672,-0.058896199
-0.238496776,0.04762859,-0.181720091,0.062363393,-0.003416769,-0.006298895,-0.025017068,0.068953925
0.158108042,0.019350468,-0.000263005,-0.044604752,-0.002558103,-0.04286977,-0.006822883,-0.044994474
